User_ID,Product_ID,Gender,Age,Occupation,City_Category,Marital_Status,Purchase
1000001,P00069042,F,0-17,10,A,0,8370
1000001,P00248942,F,0-17,10,A,0,15200
1000001,P00087842,F,0-17,10,A,0,1422
1000001,P00085442,F,0-17,10,A,0,1057
1000002,P00285442,M,55+,16,C,0,7969
1000003,P00193542,M,26-35,15,A,0,15227
1000004,P00184942,M,46-50,7,B,1,19215
1000004,P00346142,M,46-50,7,B,1,15854
1000004,P0097242,M,46-50,7,B,1,15686
1000005,P00274942,M,26-35,20,A,1,7871
1000005,P00251242,M,26-35,20,A,1,5254
1000005,P00014542,M,26-35,20,A,1,3957
1000005,P00031342,M,26-35,20,A,1,6073
1000005,P00145042,M,26-35,20,A,1,15665
1000006,P00231342,F,51-55,9,A,0,5378
1000006,P00190242,F,51-55,9,A,0,2079
1000006,P0096642,F,51-55,9,A,0,13055
1000006,P00058442,F,51-55,9,A,0,8851
1000007,P00036842,M,36-45,1,B,1,11788
1000008,P00249542,M,26-35,12,C,1,19614
1000008,P00220442,M,26-35,12,C,1,8584
1000008,P00156442,M,26-35,12,C,1,9872
1000008,P00213742,M,26-35,12,C,1,9743
1000008,P00214442,M,26-35,12,C,1,5982
1000008,P00303442,M,26-35,12,C,1,11927
1000009,P00135742,M,26-35,17,C,0,16662
1000009,P00039942,M,26-35,17,C,0,5887
1000009,P00161442,M,26-35,17,C,0,6973
1000009,P00078742,M,26-35,17,C,0,5391
1000010,P00085942,F,36-45,1,B,1,16352
1000010,P00118742,F,36-45,1,B,1,8886
1000010,P00297942,F,36-45,1,B,1,5875
1000010,P00266842,F,36-45,1,B,1,8854
1000010,P00058342,F,36-45,1,B,1,10946
1000010,P00032442,F,36-45,1,B,1,5152
1000010,P00105942,F,36-45,1,B,1,7089
1000010,P00182642,F,36-45,1,B,1,12909
1000010,P00186942,F,36-45,1,B,1,8770
1000010,P00155442,F,36-45,1,B,1,15212
1000010,P00221342,F,36-45,1,B,1,15705
1000010,P00087242,F,36-45,1,B,1,7947
1000010,P00111142,F,36-45,1,B,1,18963
1000010,P00259342,F,36-45,1,B,1,8718
1000010,P0094542,F,36-45,1,B,1,16406
1000010,P00148642,F,36-45,1,B,1,12642
1000010,P00312142,F,36-45,1,B,1,10007
1000010,P00113242,F,36-45,1,B,1,11562
1000011,P00192642,F,26-35,1,C,0,6171
1000011,P00110842,F,26-35,1,C,0,19327
1000011,P00189642,F,26-35,1,C,0,8027
1000012,P00304242,M,26-35,12,C,0,15246
1000012,P00365242,M,26-35,12,C,0,6865
1000013,P00129542,M,46-50,1,C,1,5839
1000013,P00140742,M,46-50,1,C,1,15912
1000013,P00182342,M,46-50,1,C,1,12107
1000014,P00276642,M,36-45,0,C,0,5848
1000015,P00334242,M,26-35,7,A,0,19653
1000015,P00247542,M,26-35,7,A,0,5958
1000015,P00338442,M,26-35,7,A,0,11415
1000015,P00275142,M,26-35,7,A,0,5380
1000015,P00333042,M,26-35,7,A,0,3594
1000015,P00166242,M,26-35,7,A,0,4209
1000015,P00161942,M,26-35,7,A,0,5407
1000015,P00348242,M,26-35,7,A,0,7803
1000015,P00042142,M,26-35,7,A,0,11458
1000016,P00244242,F,36-45,0,C,1,11755
1000016,P00217742,F,36-45,0,C,1,8702
1000017,P00019342,M,51-55,1,C,0,15872
1000017,P00100642,M,51-55,1,C,0,8609
1000017,P00073842,M,51-55,1,C,0,15172
1000018,P00366542,F,18-25,3,B,0,1780
1000018,P00190742,F,18-25,3,B,0,10754
1000018,P00151842,F,18-25,3,B,0,2802
1000018,P00112642,F,18-25,3,B,0,19473
1000018,P00118442,F,18-25,3,B,0,19672
1000018,P00034442,F,18-25,3,B,0,19313
1000018,P00222242,F,18-25,3,B,0,15182
1000018,P00118342,F,18-25,3,B,0,15985
1000018,P00324742,F,18-25,3,B,0,16454
1000018,P00190042,F,18-25,3,B,0,13551
1000018,P0094142,F,18-25,3,B,0,697
1000018,P00138542,F,18-25,3,B,0,7030
1000018,P00158542,F,18-25,3,B,0,5430
1000018,P00157542,F,18-25,3,B,0,8011
1000018,P00044142,F,18-25,3,B,0,5912
1000019,P00112542,M,0-17,10,A,0,7746
1000019,P00339542,M,0-17,10,A,0,19525
1000019,P00127842,M,0-17,10,A,0,11959
1000019,P00125942,M,0-17,10,A,0,19172
1000019,P00251342,M,0-17,10,A,0,8773
1000019,P00249642,M,0-17,10,A,0,11023
1000019,P00124842,M,0-17,10,A,0,4654
1000019,P00250642,M,0-17,10,A,0,4664
1000019,P00058142,M,0-17,10,A,0,8290
1000019,P00117442,M,0-17,10,A,0,7011
1000019,P00251642,M,0-17,10,A,0,4211
1000019,P00244842,M,0-17,10,A,0,1539
1000021,P00220242,M,18-25,16,B,0,3055
1000022,P00351142,M,18-25,15,A,0,12099
1000022,P00213242,M,18-25,15,A,0,8797
1000022,P00195942,M,18-25,15,A,0,10681
1000022,P00115642,M,18-25,15,A,0,7801
1000022,P0098242,M,18-25,15,A,0,15517
1000022,P00262242,M,18-25,15,A,0,12098
1000022,P00258742,M,18-25,15,A,0,6976
1000022,P00218242,M,18-25,15,A,0,5384
1000022,P00021742,M,18-25,15,A,0,6973
1000022,P00313042,M,18-25,15,A,0,5168
1000022,P00133742,M,18-25,15,A,0,3449
1000022,P00077042,M,18-25,15,A,0,7177
1000022,P00280542,M,18-25,15,A,0,4570
1000022,P00225842,M,18-25,15,A,0,9564
1000023,P00278942,M,36-45,0,B,1,15766
1000023,P00004742,M,36-45,0,B,1,8481
1000023,P00198042,M,36-45,0,B,1,6108
1000023,P00177442,M,36-45,0,B,1,15354
1000023,P00000642,M,36-45,0,B,1,12015
1000023,P00288942,M,36-45,0,B,1,15371
1000023,P00270942,M,36-45,0,B,1,19239
1000023,P00345842,M,36-45,0,B,1,16137
1000023,P00032042,M,36-45,0,B,1,11887
1000023,P00313042,M,36-45,0,B,1,5183
1000023,P00112342,M,36-45,0,B,1,584
1000023,P00031842,M,36-45,0,B,1,7601
1000024,P00346642,F,26-35,7,A,1,2230
1000024,P00205642,F,26-35,7,A,1,6940
1000024,P00248942,F,26-35,7,A,1,15774
1000025,P00206442,M,18-25,4,C,0,15361
1000025,P00046742,M,18-25,4,C,0,15770
1000025,P00120042,M,18-25,4,C,0,18974
1000026,P00043242,M,26-35,7,B,1,1848
1000026,P00057242,M,26-35,7,B,1,3624
1000026,P00022842,M,26-35,7,B,1,5275
1000026,P00252042,M,26-35,7,B,1,5356
1000026,P00042242,M,26-35,7,B,1,5411
1000026,P00059542,M,26-35,7,B,1,9734
1000026,P00346642,M,26-35,7,B,1,7814
1000026,P00021242,M,26-35,7,B,1,6098
1000026,P00023042,M,26-35,7,B,1,5195
1000026,P00144242,M,26-35,7,B,1,5220
1000026,P00101342,M,26-35,7,B,1,16093
1000026,P00289342,M,26-35,7,B,1,3702
1000027,P00281742,M,26-35,11,C,1,8696
1000027,P00266642,M,26-35,11,C,1,7730
1000027,P00323742,M,26-35,11,C,1,9836
1000027,P00116342,M,26-35,11,C,1,16500
1000027,P00117142,M,26-35,11,C,1,15903
1000028,P00084442,F,26-35,1,C,1,758
1000028,P00331542,F,26-35,1,C,1,6904
1000028,P00118742,F,26-35,1,C,1,8690
1000028,P00178942,F,26-35,1,C,1,8624
1000028,P00026042,F,26-35,1,C,1,3904
1000029,P00233542,M,36-45,7,C,0,19068
1000029,P00127242,M,36-45,7,C,0,7963
1000029,P00349942,M,36-45,7,C,0,15511
1000029,P00303342,M,36-45,7,C,0,11859
1000030,P00051442,F,36-45,7,C,0,9735
1000030,P00275642,F,36-45,7,C,0,4166
1000030,P00278642,F,36-45,7,C,0,6927
1000031,P00117442,M,55+,7,C,0,8596
1000031,P00322042,M,55+,7,C,0,5248
1000031,P00216342,M,55+,7,C,0,10592
1000031,P00329342,M,55+,7,C,0,3482
1000032,P00332342,F,26-35,0,C,1,7134
1000033,P00285442,M,46-50,3,A,1,7854
1000033,P00111742,M,46-50,3,A,1,17391
1000033,P00293742,M,46-50,3,A,1,6074
1000033,P00032842,M,46-50,3,A,1,6119
1000033,P00216142,M,46-50,3,A,1,15333
1000033,P00001642,M,46-50,3,A,1,6129
1000033,P00351842,M,46-50,3,A,1,5265
1000033,P00145442,M,46-50,3,A,1,7888
1000033,P00344242,M,46-50,3,A,1,4035
1000033,P00327242,M,46-50,3,A,1,5280
1000033,P00241142,M,46-50,3,A,1,7909
1000033,P00219242,M,46-50,3,A,1,811
1000033,P00057342,M,46-50,3,A,1,2846
1000033,P00165742,M,46-50,3,A,1,7994
1000033,P00154642,M,46-50,3,A,1,3897
1000034,P00192942,F,18-25,0,A,0,6996
1000034,P00247042,F,18-25,0,A,0,8593
1000034,P00150542,F,18-25,0,A,0,6917
1000034,P00347142,F,18-25,0,A,0,5329
1000034,P00326742,F,18-25,0,A,0,5942
1000034,P00085942,F,18-25,0,A,0,15895
1000034,P00330442,F,18-25,0,A,0,7165
1000034,P00327842,F,18-25,0,A,0,9846
1000034,P00218342,F,18-25,0,A,0,8701
1000034,P00259042,F,18-25,0,A,0,8757
1000035,P00102542,M,46-50,1,C,1,6109
1000035,P00285442,M,46-50,1,C,1,6139
1000035,P00121142,M,46-50,1,C,1,5897
1000035,P00228242,M,46-50,1,C,1,3990
1000035,P00129542,M,46-50,1,C,1,6153
1000035,P00309542,M,46-50,1,C,1,5319
1000035,P00106742,M,46-50,1,C,1,10767
1000036,P00102642,M,26-35,3,B,0,2832
1000036,P00127442,M,26-35,3,B,0,8066
1000036,P00345642,M,26-35,3,B,0,15812
1000036,P00357842,M,26-35,3,B,0,6967
